Day,Start Balance ($),Daily Profit ($),End Balance ($)
1,200.0,19.98,219.98
2,219.98,21.98,241.97
3,241.97,24.18,266.14
4,266.14,26.59,292.74
5,292.74,29.25,321.99
6,321.99,32.17,354.16
7,354.16,35.39,389.55
8,389.55,38.93,428.48
9,428.48,42.81,471.29
10,471.29,47.09,518.39
11,518.39,51.8,570.18
12,570.18,56.97,627.16
13,627.16,62.67,689.83
14,689.83,68.93,758.75
15,758.75,75.82,834.57
16,834.57,83.39,917.96
17,917.96,91.73,1009.69
18,1009.69,100.89,1110.58
19,1110.58,110.97,1221.55
20,1221.55,122.06,1343.62
21,1343.62,134.26,1477.87
22,1477.87,147.67,1625.55
23,1625.55,162.43,1787.98
24,1787.98,178.66,1966.64
25,1966.64,196.51,2163.15
26,2163.15,216.15,2379.3
27,2379.3,237.75,2617.04
28,2617.04,261.5,2878.54
29,2878.54,287.63,3166.18
30,3166.18,316.37,3482.55
